[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.654] [SEVERE ] removing player 4 token from slot 9
[17:43:19.657] [SEVERE ] removing player 1 token from slot 10
[17:43:19.657] [SEVERE ] removing player 1 token from slot 10
[17:43:19.658] [SEVERE ] removing player 1 token from slot 3
[17:43:19.662] [SEVERE ] removing player 2 token from slot 8
[17:43:19.663] [SEVERE ] removing player 2 token from slot 9
[17:43:19.663] [SEVERE ] player 2 placing token on slot 2
[17:43:19.664] [SEVERE ] removing player 3 token from slot 5
[17:43:19.665] [SEVERE ] player 3 placing token on slot 3
[17:43:19.666] [SEVERE ] player 3 placing token on slot 0
[17:43:19.669] [SEVERE ] removing player 4 token from slot 5
[17:43:19.669] [SEVERE ] removing player 4 token from slot 1
[17:43:19.669] [SEVERE ] player 4 placing token on slot 1
[17:43:19.670] [SEVERE ] removing player 1 token from slot 6
[17:43:19.671] [SEVERE ] removing player 1 token from slot 7
[17:43:19.671] [SEVERE ] removing player 1 token from slot 8
[17:43:19.677] [SEVERE ] removing player 2 token from slot 10
[17:43:19.677] [SEVERE ] removing player 2 token from slot 0
[17:43:19.677] [SEVERE ] player 4 placing token on slot 4
[17:43:19.680] [SEVERE ] removing player 4 token from slot 1
[17:43:19.680] [SEVERE ] removing player 4 token from slot 5
[17:43:19.677] [SEVERE ] player 3 placing token on slot 1
[17:43:19.682] [SEVERE ] removing player 3 token from slot 8
[17:43:19.682] [SEVERE ] removing player 3 token from slot 3
[17:43:19.682] [SEVERE ] removing player 1 token from slot 7
[17:43:19.683] [SEVERE ] removing player 1 token from slot 10
[17:43:19.683] [SEVERE ] removing player 1 token from slot 0
[17:43:19.682] [SEVERE ] removing player 2 token from slot 8
[17:43:19.688] [SEVERE ] player 4 placing token on slot 2
[17:43:19.688] [SEVERE ] removing player 4 token from slot 2
[17:43:19.689] [SEVERE ] removing player 4 token from slot 11
[17:43:19.689] [SEVERE ] player 3 placing token on slot 3
[17:43:19.689] [SEVERE ] removing player 3 token from slot 7
[17:43:19.689] [SEVERE ] removing player 3 token from slot 6
[17:43:19.690] [SEVERE ] removing player 1 token from slot 8
[17:43:19.690] [SEVERE ] removing player 1 token from slot 8
[17:43:19.690] [SEVERE ] removing player 1 token from slot 7
